IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
104.17.202.145,4,4,0.00,187.28,8.80
104.18.199.226,4,4,0.00,171.66,5.58
104.17.150.16,4,4,0.00,184.46,5.29
162.159.242.157,4,4,0.00,145.00,4.94
104.17.193.93,4,4,0.00,113.99,3.63
104.17.132.10,4,4,0.00,185.51,3.32
104.17.183.171,4,4,0.00,97.20,1.59
162.159.248.15,4,4,0.00,186.93,0.20
162.159.13.0,4,4,0.00,148.73,0.14
172.67.5.232,4,4,0.00,60.15,0.00
104.17.188.151,4,4,0.00,146.88,0.00
104.17.74.137,4,4,0.00,145.72,0.00
104.18.35.67,4,4,0.00,168.66,0.00
104.18.94.123,4,4,0.00,169.19,0.00
104.18.65.132,4,4,0.00,170.86,0.00
104.17.204.41,4,4,0.00,171.40,0.00
104.18.166.43,4,4,0.00,171.47,0.00
104.18.142.5,4,4,0.00,144.11,0.00
104.17.63.87,4,4,0.00,172.30,0.00
104.17.190.95,4,4,0.00,172.78,0.00
104.17.152.154,4,4,0.00,184.45,0.00
104.16.250.33,4,4,0.00,141.07,0.00
162.159.58.127,4,4,0.00,184.88,0.00
104.18.194.137,4,4,0.00,134.98,0.00
185.146.172.166,4,4,0.00,106.16,0.00
104.17.105.73,4,4,0.00,98.37,0.00
162.251.82.83,4,4,0.00,193.26,0.00
104.19.137.110,4,4,0.00,195.12,0.00
104.19.163.64,4,4,0.00,199.07,0.00
104.18.183.38,4,4,0.00,199.10,0.00
104.21.235.51,4,4,0.00,199.39,0.00
104.18.184.91,4,4,0.00,199.69,0.00
